OpCode	Mnemonic	AddrMode	Description	Bytes	Cycles	T0_0	T0_1	T1_0	T1_1	T2_0	T2_1	T3_0	T3_1	T4_0	T4_1	T5_0	T5_1	T6_0	T6_1	T7_0	T7_1	T8_0	T8_1	T9_0	T9_1	T10_0	T10_1	T11_0	T11_1	T12_0	T12_1	T13_0	T13_1	T14_0	T14_1	T15_0	T15_1
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Data Addr Out	Write Data	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Clear CY 	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	dummy	dummy	AR out	Read Data	AR out	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low target addr	Put out next PC addr	Read high target addr	Put out next SP addr	Write PCH to stack	Put out SP addr	Write PCL to stack	Load new PC	Load PCH	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read ZP	Put out AR	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Put out AR addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Prepare SP decrement	Load decremented SP	Update SP	Put out SP Addr	Read SP Location	Put out PC Addr	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Get A	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out absolute addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Data Addr Out	Write Data	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Set CY 	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	dummy	dummy	AR out	Read Data	AR out	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Init SP increment	Load new SP to AL	Load SP* to SP	Put out SP+1	Read SR from Stack	Put out SP+2	Read PCL from Stack	Put out SP+3	Read PCH from Stack	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Put out AR addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Init SP decrement	Load SP-1 to AL	Write SR to Stack	Put out PC Addr	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load A to ALU	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low addr	Put out next addr	Read High addr	Put out PC Addr	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out absolute addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Data Addr Out	Write Data	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Clear CY 	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	dummy	dummy	AR out	Read Data	AR out	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Init SP increment	Pre-load incr SP	Load SP* to SP	Put out SP addr	Read PCL	Load next SP	Read PCH	Put out PC addr	Increment PC	Put out PC Addr	Fetch Instruction Code																		
0x61	ADC (ind,X)	(indirect,X)	Add Memory to Accumulator with Carry	2	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x65	ADC zpg	zeropage	Add Memory to Accumulator with Carry	2	3	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Put out AR addr	Write ZP location	Set NZ flags	dummy	Put out PC Addr	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Prepare SP decrement	Load decremented SP	Update SP	Put out SP Addr	Read SP Location	Put out PC Addr	Fetch Instruction Code																						
0x69	ADC #	immediate	Add Memory to Accumulator with Carry	2	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load A to ALU	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low addr	Put out next addr	Read High addr	Put out Mem Addr	Read Low Addr	Putout Next AR	Read High Addr	Put out PC Addr	Fetch Instruction Code																				
0x6D	ADC abs	absolute	Add Memory to Accumulator with Carry	3	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out absolute addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r	Put out PC Addr	Fetch Instruction Code																										
0x71	ADC (ind),Y	(indirect),Y	Add Memory to Accumulator with Carry	2	5*	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Wasted phase for alignm.	Wasted phase for alignm.	Read Data	Store result, PC out	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x75	ADC zpg,X	zeropage,X	Add Memory to Accumulator with Carry	2	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Data Addr Out	Write Data	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Set Interrupt disable	Put out PC Addr	Fetch Instruction Code																										
0x79	ADC abs,Y	absolute,Y	Add Memory to Accumulator with Carry	3	4*	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Prep ARH Increment	Update ARH	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x7D	ADC abs,X	absolute,X	Add Memory to Accumulator with Carry	3	4*	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Prep ARH Increment	Update ARH	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	dummy	dummy	AR out	Read Data	AR out	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Write Data	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Write ZP location	Put out PC Addr	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Write ZP location	Put out PC Addr	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Write ZP location	Put out PC Addr	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Write data	Put out PC Addr	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Write data	Put out PC Addr	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Write data	Put out PC Addr	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r	Put out PC Addr	Fetch Instruction Code																										
0x91	STA (ind),Y	(indirect),Y	Store Accumulator in Memory	2	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Write Data	Store result, PC out	Fetch Instruction Code	Store result, PC out	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Write Data	Put out PC Addr	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Write Data	Put out PC Addr	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Write Data	Put out PC Addr	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Dummy	Dummy	Put Data Addr	Write Data	Put out PC Addr	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load X to SP*	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Dummy	Dummy	Put Data Addr	Write Data	Put out PC Addr	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Read Data	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Immediate to X	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Immediate to A	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out PC Addr	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out PC Addr	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out PC Addr	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Clear CY 	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	ZP addr out	Read from ZP	ZP addr out	Write result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load X to ALU_A	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load X to ALU_A	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out absolute addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Data Addr Out	Write Data	dummy	dummy	Put out PC Addr	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Clear CY 	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Put Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	dummy	dummy	AR out	Read Data	AR out	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																		
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																								
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Put out AR addr	Write ZP location	dummy	dummy	Put out PC Addr	Fetch Instruction Code																				
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load X to ALU_A	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Store result, PC out	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction	dummy cycle	Put out PC Addr	Fetch Instruction Code																										
						Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
