OpCode	Mnemonic	AddrMode	Description	Bytes	Cycles	T0_0	T0_1	T1_0	T1_1	T2_0	T2_1	T3_0	T3_1	T4_0	T4_1	T5_0	T5_1	T6_0	T6_1	T7_0	T7_1	T8_0	T8_1	T9_0	T9_1	T10_0	T10_1	T11_0	T11_1	T12_0	T12_1	T13_0	T13_1	T14_0	T14_1	T15_0	T15_1
0x8B			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x8C	STY abs	absolute	Store Index Y in Memory	3	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Write data	Put out PC Addr	Fetch Instruction Code																						
0x8D	STA abs	absolute	Store Accumulator in Memory	3	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Write data	Put out PC Addr	Fetch Instruction Code																						
0x8E	STX abs	absolute	Store Index X in Memory	3	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Write data	Put out PC Addr	Fetch Instruction Code																						
0x8F			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x90	BCC rel	relative	Branch on Carry Clear(branch on C = 0)	2	2**	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r, Set Cond	Put out PC Addr	Fetch Instruction Code																										
0x91	STA (ind),Y	(indirect),Y	Store Accumulator in Memory	2	6	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Write Data	Store result, PC out	Fetch Instruction Code	Store result, PC out	Fetch Instruction Code																		
0x92			(P65C02)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x93			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x94	STY zpg,X	zeropage,X	Store Index Y in Memory	2	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Write Data	Put out PC Addr	Fetch Instruction Code																						
0x95	STA zpg,X	zeropage,X	Store Accumulator in Memory	2	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Write Data	Put out PC Addr	Fetch Instruction Code																						
0x96	STX zpg,Y	zeropage,Y	Store Index X in Memory	2	4	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Write Data	Put out PC Addr	Fetch Instruction Code																						
0x97			(P65C816)			Put out PC Addr	Fetch Instruction Code	Decode Instruction																													
0x98	TYA	implied	Transfer Index Y to Accumulator	1	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load Y to ALU_A	Put out PC Addr	Fetch Instruction Code																										
0x99	STA abs,Y	absolute,Y	Store Accumulator in Memory	3	5	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low Addr	Store Low Result	Read High Addr	Dummy	Dummy	Put Data Addr	Write Data	Put out PC Addr	Fetch Instruction Code																				
0x9A	TXS	implied	Transfer Index X to Stack Register(X -> SP)	1	2	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Load X to SP*	Put out PC Addr	Fetch Instruction Code																										
